"Dataset","Window","WindowStart","WindowEnd","Model","Raw_Time","Sym_Time","Raw_NLL","Sym_NLL","SpeedUp","Param1_Name","Param1_Raw","Param1_Sym","Param2_Name","Param2_Raw","Param2_Sym","Param_AbsDiff","Raw_Conv","Sym_Conv"
"MIMIC-III",33,16001,26000,"normal",0.00800000000162981,0.00099999998928979,30846.6505000575,9869.99641141116,8.00000008731149,"mu",165.181196960009,165.690716231719,"sigma",5.28951433399192,5.09717446441305,0.350929570644433,TRUE,TRUE
"MIMIC-III",33,16001,26000,"gamma",0.130000000004657,0.0029999999969732,30918.5255186325,9926.57575070286,43.333333378606,"shape",959.814372817416,1042.82553164882,"rate",5.8106691853793,6.29385010703313,41.7471698765292,TRUE,TRUE
"MIMIC-III",34,16501,26500,"normal",0.0089999999909196,0.00200000000768341,30309.0536719833,9322.82184283871,4.49999997817213,"mu",165.148100039398,165.677977130645,"sigma",5.01266214128101,4.73618192308668,0.403178654720756,TRUE,TRUE
"MIMIC-III",34,16501,26500,"gamma",0.149000000004889,0.0029999999969732,30369.7051236905,9372.03250857128,49.6666667184068,"shape",1071.50650418404,1209.81952581621,"rate",6.48813587590338,7.30227512044057,69.5635804383567,TRUE,TRUE
"MIMIC-III",35,17001,27000,"normal",0.0130000000062864,0.00199999997857958,30664.6946034402,9794.16701822095,6.50000007275958,"mu",165.093899987521,165.559302289381,"sigma",5.19414100863262,5.04648558532359,0.306528862584672,TRUE,TRUE
"MIMIC-III",35,17001,27000,"gamma",0.125,0.00199999997857958,30751.3835349207,9859.20530052021,62.5000006693881,"shape",991.671175875789,1068.45734772532,"rate",6.00668696713521,6.45349827185009,38.616491577121,TRUE,TRUE
"MIMIC-III",36,17501,27500,"normal",0.00800000000162981,0.00099999998928979,30763.8506580041,9793.64421772802,8.00000008731149,"mu",165.116399992573,165.55075308132,"sigma",5.24589915352844,5.04601645689976,0.317117892687911,TRUE,TRUE
"MIMIC-III",36,17501,27500,"gamma",0.0739999999932479,0.00099999998928979,30848.8025382042,9858.4367987072,74.0000007858034,"shape",972.436092032704,1068.57129792968,"rate",5.88938758741059,6.45452044668165,48.3501693781234,TRUE,TRUE
"MIMIC-III",37,18001,28000,"normal",0.00900000002002344,0.00099999998928979,30844.1511824239,9824.31238645014,9.00000011641532,"mu",164.866900185111,165.240808326203,"sigma",5.28819486398557,5.0619763405107,0.300063332283247,TRUE,TRUE
"MIMIC-III",37,18001,28000,"gamma",0.0760000000009313,0.00200000000768341,30919.3242491133,9883.04324897298,37.9999998544808,"shape",955.928166001994,1058.53963266424,"rate",5.79817157616551,6.40591824377822,51.6096066649297,TRUE,TRUE
"MIMIC-III",38,18501,28500,"normal",0.00800000000162981,0.00100000001839362,32278.5813699112,11177.2021950029,7.99999985448085,"mu",164.113909664196,164.426069329089,"sigma",6.10387832346418,5.99324755110907,0.211395218623947,TRUE,TRUE
