"Dataset","Window","WindowStart","WindowEnd","Model","Raw_Time","Sym_Time","Raw_NLL","Sym_NLL","SpeedUp","Param1_Name","Param1_Raw","Param1_Sym","Param2_Name","Param2_Raw","Param2_Sym","Param_AbsDiff","Raw_Conv","Sym_Conv"
"MIMIC-III",18,8501,18500,"gamma",0.0709999999962747,0.00099999998928979,31481.1165472461,10205.5326831647,71.0000007566996,"shape",840.983393016166,947.518544295184,"rate",5.14213347224675,5.77427449047019,53.5836461486206,TRUE,TRUE
"MIMIC-III",19,9001,19000,"normal",0.0089999999909196,0.00099999998928979,31658.5298096848,10272.3136817734,9.00000008731149,"mu",163.863694843591,164.413139077767,"sigma",5.73687354313116,5.36380764229113,0.46125506750792,TRUE,TRUE
"MIMIC-III",19,9001,19000,"gamma",0.0789999999979045,0.00199999997857958,31689.8859696544,10311.7899551451,39.5000004220055,"shape",809.502274167717,928.737194225964,"rate",4.94009817315204,5.6489033643481,59.9718626247216,TRUE,TRUE
"MIMIC-III",20,9501,19500,"normal",0.0089999999909196,0.00099999998928979,31431.0364760251,10146.7909557997,9.00000008731149,"mu",163.853500002891,164.423808891755,"sigma",5.60783818794325,5.27898030427072,0.44958338626836,TRUE,TRUE
"MIMIC-III",20,9501,19500,"gamma",0.0690000000176951,0.00200000000768341,31464.0245595701,10187.6356456003,34.4999998763087,"shape",846.86514498029,958.678896030258,"rate",5.16843301610706,5.8306270832784,56.2379725585694,TRUE,TRUE
"MIMIC-III",21,10001,20000,"normal",0.00700000001234002,0.00099999998928979,31471.031472664,10212.1788446887,7.00000008731149,"mu",163.898499541914,164.467004921851,"sigma",5.63031309027862,5.32065340522089,0.43908253249746,TRUE,TRUE
"MIMIC-III",21,10001,20000,"gamma",0.0609999999869615,0.00099999998928979,31506.5314412586,10255.41125848,61.0000006402843,"shape",840.058142186699,943.954004463418,"rate",5.12548290529359,5.7395694966294,52.2549744340276,TRUE,TRUE
"MIMIC-III",22,10501,20500,"normal",0.00700000001234002,0.00099999998928979,31389.485729077,10140.192235988,7.00000008731149,"mu",164.241887819232,164.831454281568,"sigma",5.58458988962403,5.26796727627063,0.453094537844898,TRUE,TRUE
"MIMIC-III",22,10501,20500,"gamma",0.0620000000053551,0.00200000000768341,31427.7770234585,10185.2052689302,30.9999998835847,"shape",856.940309945671,967.377481529062,"rate",5.21754896685442,5.86895551881715,55.5442890676769,TRUE,TRUE
"MIMIC-III",23,11001,21000,"normal",0.00800000000162981,0.00099999998928979,31577.4760991611,10179.9636948689,8.00000008731149,"mu",164.569994606071,165.092180172032,"sigma",5.6905642066604,5.2938990906486,0.459425340986171,TRUE,TRUE
"MIMIC-III",23,11001,21000,"gamma",0.0650000000023283,0.00200000000768341,31623.3933022002,10231.9003299603,32.4999998763087,"shape",827.433917460833,960.102157429703,"rate",5.02785810772558,5.81560940344569,66.7279956322947,TRUE,TRUE
"MIMIC-III",24,11501,21500,"normal",0.00800000000162981,0.00100000001839362,31592.9650243184,10173.9278328736,7.99999985448085,"mu",164.836201397714,165.379234831833,"sigma",5.69938404034194,5.29205949453063,0.47517898996534,TRUE,TRUE
"MIMIC-III",24,11501,21500,"gamma",0.0639999999839347,0.00800000000162981,31646.953054575,10231.2040399874,7.99999999636202,"shape",826.134688754216,976.899963023757,"rate",5.01185149500989,5.90679277735238,75.8301077759416,TRUE,TRUE
"MIMIC-III",25,12001,22000,"normal",0.00700000001234002,0,31670.7387324706,10201.1861187881,NA,"mu",164.979586435188,165.504790352607,"sigma",5.74388040683458,5.31159421866428,0.478745052794504,TRUE,TRUE
"MIMIC-III",25,12001,22000,"gamma",0.0790000000270084,0.0029999999969732,31731.4297760572,10264.0895328452,26.3333333689047,"shape",813.95165723346,958.526063201933,"rate",4.93367936441043,5.79159239971318,72.7161595018883,TRUE,TRUE
"MIMIC-III",26,12501,22500,"normal",0.0100000000093132,0.00099999998928979,31616.9056695085,10209.4593323596,10.0000001164153,"mu",165.30219945779,165.802517336715,"sigma",5.71304640481549,5.32103499284526,0.446164645447695,TRUE,TRUE
"MIMIC-III",26,12501,22500,"gamma",0.0700000000069849,0.00099999998928979,31688.3866332787,10278.5223603546,70.0000007566996,"shape",823.956679604744,970.522035209728,"rate",4.98454671668041,5.85325656729126,73.717032727797,TRUE,TRUE
"MIMIC-III",27,13001,23000,"normal",0.00800000000162981,0.00100000001839362,31532.8189998625,10198.0840042915,7.99999985448085,"mu",165.308600064645,165.820945842118,"sigma",5.66520491598117,5.31398773104015,0.43178148120721,TRUE,TRUE
"MIMIC-III",27,13001,23000,"gamma",0.0689999999885913,0.00100000001839362,31606.7062865073,10268.069305809,68.9999987194315,"shape",837.614861075236,973.203512859303,"rate",5.06697431208931,5.86877656319902,68.1952270175884,TRUE,TRUE
"MIMIC-III",28,13501,23500,"normal",0.00700000001234002,0.00099999998928979,31529.1722354363,10245.3043568179,7.00000008731149,"mu",165.178704260031,165.726131542546,"sigma",5.66314421724093,5.34362122417328,0.433475137791596,TRUE,TRUE
"MIMIC-III",28,13501,23500,"gamma",0.448000000003958,0.0029999999969732,31603.7024434403,10316.2606826089,149.33333348532,"shape",837.130086354267,961.088276797786,"rate",5.06807733311519,5.79902128430847,62.3445671973561,TRUE,TRUE
"MIMIC-III",29,14001,24000,"normal",0.0089999999909196,0.00100000001839362,31292.9319369316,10084.1218498949,8.99999982537702,"mu",165.062388424953,165.638013394193,"sigma",5.53090931284224,5.23057453212977,0.437979874976067,TRUE,TRUE
"MIMIC-III",29,14001,24000,"gamma",0.0589999999792781,0.00200000000768341,31352.350464671,10140.6102748752,29.4999998763087,"shape",878.677117742636,990.716926398573,"rate",5.32330130449811,5.98129935276152,56.3489033521,TRUE,TRUE
"MIMIC-III",30,14501,24500,"normal",0.00700000001234002,0.00099999998928979,31063.8672734882,9930.34567079744,7.00000008731149,"mu",165.110203666199,165.69107572622,"sigma",5.40566571344734,5.13447222437271,0.426032774547957,TRUE,TRUE
"MIMIC-III",30,14501,24500,"gamma",0.0539999999746215,0.00200000000768341,31127.5342842345,9987.38756149701,26.9999998835847,"shape",919.820850650508,1028.00307560817,"rate",5.57097702675297,6.20435671575788,54.407802323334,TRUE,TRUE
"MIMIC-III",31,15001,25000,"normal",0.00800000000162981,0.00099999998928979,30775.2206512056,9710.07740936396,8.00000008731149,"mu",165.21842143908,165.744548108131,"sigma",5.25185518929938,4.99411463206778,0.391933613141326,TRUE,TRUE
"MIMIC-III",31,15001,25000,"gamma",0.0659999999916181,0.0029999999969732,30835.9079928259,9762.93562019811,22.0000000194026,"shape",976.108474369698,1087.6050052953,"rate",5.90798790368575,6.56195961346408,56.0752513176881,TRUE,TRUE
"MIMIC-III",32,15501,25500,"normal",0.00800000000162981,0.00099999998928979,30493.1034428996,9570.64148608798,8.00000008731149,"mu",165.509203305464,165.96676926782,"sigma",5.10577157821348,4.90967275543605,0.326832392566672,TRUE,TRUE
"MIMIC-III",32,15501,25500,"gamma",0.0630000000237487,0.00199999997857958,30564.6604829029,9626.94386825707,31.500000349246,"shape",1034.13490948406,1127.34037363809,"rate",6.24820059352421,6.79261355401437,46.8749385572605,TRUE,TRUE
